Site,Metric,Q1,Median,Q3,IQR
Sud Atlantique,NPV,-435.9556536209292,-340.2789463711663,-264.89864857269106,171.05700504823812
Mid-Europe,NPV,-873.1455789654666,-695.3118709776165,-383.8956755661588,489.2499033993078
North-South Europe,NPV,-1138.4963425665824,-1013.7811634797729,-898.4530588422424,240.04328372433997
All Sites,NPV,-1579.4529741832544,-1363.9006718690325,-903.6058426142208,675.8471315690335
Best Sites,NPV,-244.62001544680874,-81.81729139365183,92.80601784460394,337.4260332914127
Sud Atlantique,NPV/CAPEX,-31.141966911903825,-24.307416593162454,-18.922715832082847,12.219251079820978
Mid-Europe,NPV/CAPEX,-22.453625704690772,-17.88049195353839,-9.87217941253855,12.581446292152222
North-South Europe,NPV/CAPEX,-29.877663436043694,-26.604751607691735,-23.5781856309324,6.2994778051112945
All Sites,NPV/CAPEX,-21.102344565579184,-18.22244941853263,-12.07266196207968,9.029682603499504
Best Sites,NPV/CAPEX,-10.294948767284907,-3.44331931153369,3.9057850489494372,14.200733816234344
Sud Atlantique,IRR,2.484010264951905,3.2584845490798346,3.8416300190833326,1.3576197541314277
Mid-Europe,IRR,3.511084326733105,4.005989545916405,4.833924122438825,1.32283979570572
North-South Europe,IRR,2.629758269233795,3.0081853949093302,3.3569863665024178,0.7272280972686227
All Sites,IRR,3.621928317331035,3.948369273572715,4.5719858387567704,0.9500575214257356
Best Sites,IRR,4.865147319794592,5.553122640359965,6.269426908436825,1.4042795886422326
