,Golfe_du_Lion
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,33.0
wind_MW_per_km2 [MW/km2],5.082
solar_MW [MW],12.18
surface_tilt [deg],2.1369000000000002
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],0.0
b_E_h [h],1.0
cost_of_battery_P_fluct_in_peak_price_ratio,16.718000000000004
name,Golfe_du_Lion
longitude,4.294
latitude,43.012
altitude,100
NPV_over_CAPEX,-0.690912255524876
NPV [MEuro],-822.5131368380665
IRR,0.0
LCOE [Euro/MWh],53.31858451492065
Revenues [MEuro],61.7736908042797
CAPEX [MEuro],1190.4740873545734
OPEX [MEuro],32.11708597753918
Wind CAPEX [MEuro],870.9937073545735
Wind OPEX [MEuro],32.00137597753918
PV CAPEX [MEuro],5.98038
PV OPEX [MEuro],0.11571
Batt CAPEX [MEuro],0.0
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],2333.3800621398905
GUF,0.5327351740045413
grid [MW],500.0
wind [MW],495.0
solar [MW],12.18
Battery Energy [MWh],0.0
Battery Power [MW],0.0
Total curtailment [GWh],11.618712216110286
Total curtailment with deg [GWh],8.949380588056144
Awpp [km2],97.40259740259741
Apvp [km2],0.19488
Plant area [km2],97.40259740259741
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,0.0
Break-even PPA price [Euro/MWh],54.88412765095111
Capacity factor wind [-],0.5345169342990984
AEP [GWh],2334.7993249677515
AEP with degradation [GWh],2333.7380373634123
design obj,NPV_over_CAPEX
opt time [min],7.9
n_model_evals,124
