,Sud_Atlantique_Wind
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,33.0
wind_MW_per_km2 [MW/km2],5.0012
solar_MW [MW],0.0
surface_tilt [deg],0.0
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],0.0
b_E_h [h],3.0
cost_of_battery_P_fluct_in_peak_price_ratio,15.618
name,Sud_Atlantique_Wind
longitude,-1.7802
latitude,45.8912
altitude,100
NPV_over_CAPEX,-0.8194759937689315
NPV [MEuro],-970.6641579474351
IRR,0.0
LCOE [Euro/MWh],68.09162315476287
Revenues [MEuro],46.894996222913036
CAPEX [MEuro],1184.4937073545734
OPEX [MEuro],29.651297602405734
Wind CAPEX [MEuro],870.9937073545735
Wind OPEX [MEuro],29.651297602405734
PV CAPEX [MEuro],0.0
PV OPEX [MEuro],0.0
Batt CAPEX [MEuro],0.0
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],1784.8747397745435
GUF,0.4075056483503524
grid [MW],500.0
wind [MW],495.0
solar [MW],0.0
Battery Energy [MWh],0.0
Battery Power [MW],0.0
Total curtailment [GWh],0.0
Total curtailment with deg [GWh],0.0
Awpp [km2],98.97624570103176
Apvp [km2],0.0
Plant area [km2],98.97624570103176
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,0.0
Break-even PPA price [Euro/MWh],70.12903880384148
Capacity factor wind [-],0.411621867020558
AEP [GWh],1784.8747397745435
AEP with degradation [GWh],1784.8747397745435
design obj,NPV_over_CAPEX
opt time [min],5.9
n_model_evals,86
