,Thetys_Solar_HiFiEMS
clearance [m],27.0
sp [W/m2],343.0
p_rated [MW],15.0
Nwt,0.0
wind_MW_per_km2 [MW/km2],5.0
solar_MW [MW],963.9187298281525
surface_tilt [deg],5.00868615539925
surface_azimuth [deg],180.0
DC_AC_ratio,1.0
b_P [MW],0.0
b_E_h [h],0.0
cost_of_battery_P_fluct_in_peak_price_ratio,0.1334144461973755
name,Thetys_Solar_HiFiEMS
longitude,4.193
latitude,52.542
altitude,100
NPV_over_CAPEX,-0.8362666539954725
NPV [MEuro],-657.9613036678055
IRR,0.0
LCOE [Euro/MWh],71.28393937655498
Revenues [MEuro],18.729579621392194
CAPEX [MEuro],786.7840963456229
OPEX [MEuro],9.15722793336745
Wind CAPEX [MEuro],0.0
Wind OPEX [MEuro],0.0
PV CAPEX [MEuro],473.2840963456229
PV OPEX [MEuro],9.15722793336745
Batt CAPEX [MEuro],0.0
Batt OPEX [MEuro],0.0
Shared CAPEX [MEuro],313.5
Shared OPEX [MEuro],0.0
penalty lifetime [MEuro],0.0
Mean Annual Electricity Sold [GWh],923.4361719872282
GUF,0.21083017625279182
grid [MW],500.0
wind [MW],0.0
solar [MW],963.9187298281525
Battery Energy [MWh],0.0
Battery Power [MW],0.0
Total curtailment [GWh],1563.567767355403
Total curtailment with deg [GWh],1029.4179848038675
Awpp [km2],0.0
Apvp [km2],15.42269967725044
Plant area [km2],15.42269967725044
Rotor diam [m],235.96828103188196
Hub height [m],144.98414051594096
Number of batteries used in lifetime,0.0
Break-even PPA price [Euro/MWh],73.60915280985914
Capacity factor wind [-],
AEP [GWh],1028.7440958546824
AEP with degradation [GWh],964.6128913793827
design obj,NPV_over_CAPEX
opt time [min],5.02
n_model_evals,81
